state,district,active,confirmed,deceased,recovered,date
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/21/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/22/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/23/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/24/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/25/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/26/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/27/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/28/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/29/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,4/30/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/1/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/2/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/3/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/4/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/5/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/6/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/7/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/8/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/9/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/10/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/11/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/12/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/13/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/14/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/15/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/16/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/17/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/18/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/19/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/20/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/21/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/22/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/23/2020
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1,5/24/2020
Andaman and Nicobar Islands,South Andaman,5,15,0,10,4/21/2020
Andaman and Nicobar Islands,South Andaman,6,16,0,10,4/22/2020
Andaman and Nicobar Islands,South Andaman,10,20,0,10,4/23/2020
Andaman and Nicobar Islands,South Andaman,17,27,0,10,4/24/2020
Andaman and Nicobar Islands,South Andaman,22,32,0,10,4/25/2020
Andaman and Nicobar Islands,South Andaman,22,32,0,10,4/26/2020
Andaman and Nicobar Islands,South Andaman,22,32,0,10,4/27/2020
Andaman and Nicobar Islands,South Andaman,18,32,0,14,4/28/2020
Andaman and Nicobar Islands,South Andaman,18,32,0,14,4/29/2020
Andaman and Nicobar Islands,South Andaman,17,32,0,15,4/30/2020
Andaman and Nicobar Islands,South Andaman,17,32,0,15,5/1/2020
Andaman and Nicobar Islands,South Andaman,7,32,0,25,5/2/2020
Andaman and Nicobar Islands,South Andaman,1,32,0,31,5/3/2020
Andaman and Nicobar Islands,South Andaman,1,32,0,31,5/4/2020
Andaman and Nicobar Islands,South Andaman,1,32,0,31,5/5/2020
Andaman and Nicobar Islands,South Andaman,1,32,0,31,5/6/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/7/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/8/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/9/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/10/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/11/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/12/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/13/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/14/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/15/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/16/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/17/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/18/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/19/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/20/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/21/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/22/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/23/2020
Andaman and Nicobar Islands,South Andaman,0,32,0,32,5/24/2020
Andaman and Nicobar Islands,Unknown,1,1,0,0,4/21/2020
Andaman and Nicobar Islands,Unknown,1,1,0,0,4/22/2020
Andaman and Nicobar Islands,Unknown,1,1,0,0,4/23/2020
Andaman and Nicobar Islands,Unknown,1,1,0,0,4/24/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/13/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/14/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/15/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/16/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/17/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/18/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/19/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/20/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/21/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/22/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/23/2020
Andaman and Nicobar Islands,Nicobars,0,0,0,0,5/24/2020
Andhra Pradesh,Anantapur,31,36,3,2,4/21/2020
Andhra Pradesh,Anantapur,31,36,3,2,4/22/2020
Andhra Pradesh,Anantapur,32,42,3,7,4/23/2020
Andhra Pradesh,Anantapur,31,46,4,11,4/24/2020
Andhra Pradesh,Anantapur,34,51,4,13,4/25/2020
Andhra Pradesh,Anantapur,35,53,4,14,4/26/2020
Andhra Pradesh,Anantapur,35,53,4,14,4/27/2020
Andhra Pradesh,Anantapur,36,54,4,14,4/28/2020
Andhra Pradesh,Anantapur,37,58,4,17,4/29/2020
Andhra Pradesh,Anantapur,37,61,4,20,4/30/2020
Andhra Pradesh,Anantapur,41,67,4,22,5/1/2020
Andhra Pradesh,Anantapur,43,71,4,24,5/2/2020
Andhra Pradesh,Anantapur,50,78,4,24,5/3/2020
Andhra Pradesh,Anantapur,50,78,4,24,5/4/2020
Andhra Pradesh,Anantapur,52,80,4,24,5/5/2020
Andhra Pradesh,Anantapur,42,80,4,34,5/6/2020
Andhra Pradesh,Anantapur,40,83,4,39,5/7/2020
Andhra Pradesh,Anantapur,53,99,4,42,5/8/2020
Andhra Pradesh,Anantapur,54,102,4,44,5/9/2020
Andhra Pradesh,Anantapur,58,107,4,45,5/10/2020
Andhra Pradesh,Anantapur,66,115,4,45,5/11/2020
Andhra Pradesh,Anantapur,63,115,4,48,5/12/2020
Andhra Pradesh,Anantapur,65,118,4,49,5/13/2020
Andhra Pradesh,Anantapur,62,118,4,52,5/14/2020
Andhra Pradesh,Anantapur,62,122,4,56,5/15/2020
Andhra Pradesh,Anantapur,25,122,4,93,5/16/2020
Andhra Pradesh,Anantapur,47,122,4,71,5/17/2020
Andhra Pradesh,Anantapur,45,122,4,73,5/18/2020
Andhra Pradesh,Anantapur,45,122,4,73,5/19/2020
Andhra Pradesh,Anantapur,40,136,4,92,5/20/2020
Andhra Pradesh,Anantapur,40,136,4,92,5/21/2020
Andhra Pradesh,Anantapur,40,136,4,92,5/22/2020
Andhra Pradesh,Anantapur,40,136,4,92,5/23/2020
Andhra Pradesh,Anantapur,40,136,4,92,5/24/2020
Andhra Pradesh,Chittoor,49,53,0,4,4/21/2020
Andhra Pradesh,Chittoor,55,59,0,4,4/22/2020
Andhra Pradesh,Chittoor,62,73,0,11,4/23/2020
Andhra Pradesh,Chittoor,62,73,0,11,4/24/2020
Andhra Pradesh,Chittoor,62,73,0,11,4/25/2020
Andhra Pradesh,Chittoor,60,73,0,13,4/26/2020
Andhra Pradesh,Chittoor,57,73,0,16,4/27/2020
Andhra Pradesh,Chittoor,58,74,0,16,4/28/2020
Andhra Pradesh,Chittoor,61,77,0,16,4/29/2020
Andhra Pradesh,Chittoor,64,80,0,16,4/30/2020
Andhra Pradesh,Chittoor,58,80,0,22,5/1/2020
Andhra Pradesh,Chittoor,56,80,0,24,5/2/2020
Andhra Pradesh,Chittoor,44,81,0,37,5/3/2020
Andhra Pradesh,Chittoor,37,82,0,45,5/4/2020
Andhra Pradesh,Chittoor,34,82,0,48,5/5/2020
Andhra Pradesh,Chittoor,14,82,0,68,5/6/2020
Andhra Pradesh,Chittoor,14,82,0,68,5/7/2020
Andhra Pradesh,Chittoor,11,85,0,74,5/8/2020
Andhra Pradesh,Chittoor,22,96,0,74,5/9/2020
Andhra Pradesh,Chittoor,38,112,0,74,5/10/2020
Andhra Pradesh,Chittoor,47,121,0,74,5/11/2020
Andhra Pradesh,Chittoor,57,131,0,74,5/12/2020
Andhra Pradesh,Chittoor,68,142,0,74,5/13/2020
Andhra Pradesh,Chittoor,74,151,0,77,5/14/2020
Andhra Pradesh,Chittoor,88,165,0,77,5/15/2020
Andhra Pradesh,Chittoor,96,173,0,77,5/16/2020
Andhra Pradesh,Chittoor,100,177,0,77,5/17/2020
Andhra Pradesh,Chittoor,110,192,0,82,5/18/2020
Andhra Pradesh,Chittoor,109,192,1,82,5/19/2020
Andhra Pradesh,Chittoor,110,208,1,97,5/20/2020
Andhra Pradesh,Chittoor,110,208,1,97,5/21/2020
Andhra Pradesh,Chittoor,110,208,1,97,5/22/2020
Andhra Pradesh,Chittoor,110,208,1,97,5/23/2020
Andhra Pradesh,Chittoor,110,208,1,97,5/24/2020
Andhra Pradesh,East Godavari,18,26,0,8,4/21/2020
Andhra Pradesh,East Godavari,18,26,0,8,4/22/2020
Andhra Pradesh,East Godavari,24,32,0,8,4/23/2020
Andhra Pradesh,East Godavari,26,34,0,8,4/24/2020
Andhra Pradesh,East Godavari,25,37,0,12,4/25/2020
Andhra Pradesh,East Godavari,27,39,0,12,4/26/2020
Andhra Pradesh,East Godavari,27,39,0,12,4/27/2020
Andhra Pradesh,East Godavari,27,39,0,12,4/28/2020
Andhra Pradesh,East Godavari,28,40,0,12,4/29/2020
Andhra Pradesh,East Godavari,28,42,0,14,4/30/2020
Andhra Pradesh,East Godavari,25,42,0,17,5/1/2020
Andhra Pradesh,East Godavari,28,45,0,17,5/2/2020
Andhra Pradesh,East Godavari,25,45,0,20,5/3/2020
Andhra Pradesh,East Godavari,23,45,0,22,5/4/2020
Andhra Pradesh,East Godavari,23,45,0,22,5/5/2020
Andhra Pradesh,East Godavari,20,46,0,26,5/6/2020
Andhra Pradesh,East Godavari,20,46,0,26,5/7/2020
Andhra Pradesh,East Godavari,20,46,0,26,5/8/2020
Andhra Pradesh,East Godavari,17,46,0,29,5/9/2020
Andhra Pradesh,East Godavari,15,46,0,31,5/10/2020
Andhra Pradesh,East Godavari,15,46,0,31,5/11/2020
Andhra Pradesh,East Godavari,16,47,0,31,5/12/2020
Andhra Pradesh,East Godavari,16,51,0,35,5/13/2020
Andhra Pradesh,East Godavari,16,51,0,35,5/14/2020
Andhra Pradesh,East Godavari,17,52,0,35,5/15/2020
Andhra Pradesh,East Godavari,14,52,0,38,5/16/2020
Andhra Pradesh,East Godavari,13,52,0,39,5/17/2020
Andhra Pradesh,East Godavari,14,57,0,43,5/18/2020
Andhra Pradesh,East Godavari,14,57,0,43,5/19/2020
Andhra Pradesh,East Godavari,16,59,0,43,5/20/2020
Andhra Pradesh,East Godavari,16,59,0,43,5/21/2020
Andhra Pradesh,East Godavari,16,59,0,43,5/22/2020
Andhra Pradesh,East Godavari,16,59,0,43,5/23/2020
Andhra Pradesh,East Godavari,16,59,0,43,5/24/2020
Andhra Pradesh,Guntur,136,157,6,15,4/21/2020
Andhra Pradesh,Guntur,156,177,6,15,4/22/2020
Andhra Pradesh,Guntur,164,195,8,23,4/23/2020
Andhra Pradesh,Guntur,175,206,8,23,4/24/2020
Andhra Pradesh,Guntur,178,209,8,23,4/25/2020
Andhra Pradesh,Guntur,177,214,8,29,4/26/2020
Andhra Pradesh,Guntur,200,237,8,29,4/27/2020
Andhra Pradesh,Guntur,207,254,8,39,4/28/2020
Andhra Pradesh,Guntur,216,283,8,59,4/29/2020
Andhra Pradesh,Guntur,192,287,8,87,4/30/2020
Andhra Pradesh,Guntur,201,306,8,97,5/1/2020
Andhra Pradesh,Guntur,203,308,8,97,5/2/2020
Andhra Pradesh,Guntur,196,319,8,115,5/3/2020
Andhra Pradesh,Guntur,215,338,8,115,5/4/2020
Andhra Pradesh,Guntur,215,351,8,128,5/5/2020
Andhra Pradesh,Guntur,226,363,8,129,5/6/2020
Andhra Pradesh,Guntur,215,373,8,150,5/7/2020
Andhra Pradesh,Guntur,202,374,8,164,5/8/2020
Andhra Pradesh,Guntur,200,376,8,168,5/9/2020
Andhra Pradesh,Guntur,198,382,8,176,5/10/2020
Andhra Pradesh,Guntur,181,387,8,198,5/11/2020
Andhra Pradesh,Guntur,181,387,8,198,5/12/2020
Andhra Pradesh,Guntur,166,399,8,225,5/13/2020
Andhra Pradesh,Guntur,150,404,8,246,5/14/2020
Andhra Pradesh,Guntur,139,404,8,257,5/15/2020
Andhra Pradesh,Guntur,148,413,8,257,5/16/2020
Andhra Pradesh,Guntur,134,417,8,275,5/17/2020
